"","nombre_provincia","nombre_canton","codigo_provincia","codigo_canton","año","cantidad_habitantes","mes_num","mes","miles_habitantes"
"1","AZUAY","CUENCA",1,101,2021,610362,1,"Enero",610.362
"2","AZUAY","CUENCA",1,101,2021,610362,2,"Febrero",610.362
"3","AZUAY","CUENCA",1,101,2021,610362,3,"Marzo",610.362
"4","AZUAY","CUENCA",1,101,2021,610362,4,"Abril",610.362
"5","AZUAY","CUENCA",1,101,2021,610362,5,"Mayo",610.362
"6","AZUAY","CUENCA",1,101,2021,610362,6,"Junio",610.362
"7","AZUAY","CUENCA",1,101,2021,610362,7,"Julio",610.362
"8","AZUAY","CUENCA",1,101,2021,610362,8,"Agosto",610.362
"9","AZUAY","CUENCA",1,101,2021,610362,9,"Septiembre",610.362
"10","AZUAY","CUENCA",1,101,2021,610362,10,"Octubre",610.362
"11","AZUAY","CUENCA",1,101,2021,610362,11,"Noviembre",610.362
"12","AZUAY","CUENCA",1,101,2021,610362,12,"Diciembre",610.362
"13","AZUAY","CUENCA",1,101,2022,612574,1,"Enero",612.574
"14","AZUAY","CUENCA",1,101,2022,612574,2,"Febrero",612.574
"15","AZUAY","CUENCA",1,101,2022,612574,3,"Marzo",612.574
"16","AZUAY","CUENCA",1,101,2022,612574,4,"Abril",612.574
"17","AZUAY","CUENCA",1,101,2022,612574,5,"Mayo",612.574
"18","AZUAY","CUENCA",1,101,2022,612574,6,"Junio",612.574
"19","AZUAY","CUENCA",1,101,2022,612574,7,"Julio",612.574
"20","AZUAY","CUENCA",1,101,2022,612574,8,"Agosto",612.574
"21","AZUAY","CUENCA",1,101,2022,612574,9,"Septiembre",612.574
"22","AZUAY","CUENCA",1,101,2022,612574,10,"Octubre",612.574
"23","AZUAY","CUENCA",1,101,2022,612574,11,"Noviembre",612.574
"24","AZUAY","CUENCA",1,101,2022,612574,12,"Diciembre",612.574
"25","AZUAY","CUENCA",1,101,2023,615768,1,"Enero",615.768
"26","AZUAY","CUENCA",1,101,2023,615768,2,"Febrero",615.768
"27","AZUAY","CUENCA",1,101,2023,615768,3,"Marzo",615.768
"28","AZUAY","CUENCA",1,101,2023,615768,4,"Abril",615.768
"29","AZUAY","CUENCA",1,101,2023,615768,5,"Mayo",615.768
"30","AZUAY","CUENCA",1,101,2023,615768,6,"Junio",615.768
"31","AZUAY","CUENCA",1,101,2023,615768,7,"Julio",615.768
"32","AZUAY","CUENCA",1,101,2023,615768,8,"Agosto",615.768
"33","AZUAY","CUENCA",1,101,2023,615768,9,"Septiembre",615.768
"34","AZUAY","CUENCA",1,101,2023,615768,10,"Octubre",615.768
"35","AZUAY","CUENCA",1,101,2023,615768,11,"Noviembre",615.768
"36","AZUAY","CUENCA",1,101,2023,615768,12,"Diciembre",615.768
"37","AZUAY","CUENCA",1,101,2024,619701,1,"Enero",619.701
"38","AZUAY","CUENCA",1,101,2024,619701,2,"Febrero",619.701
"39","AZUAY","CUENCA",1,101,2024,619701,3,"Marzo",619.701
"40","AZUAY","CUENCA",1,101,2024,619701,4,"Abril",619.701
"41","AZUAY","CUENCA",1,101,2024,619701,5,"Mayo",619.701
"42","AZUAY","CUENCA",1,101,2024,619701,6,"Junio",619.701
"43","AZUAY","CUENCA",1,101,2024,619701,7,"Julio",619.701
"44","AZUAY","CUENCA",1,101,2024,619701,8,"Agosto",619.701
"45","AZUAY","CUENCA",1,101,2024,619701,9,"Septiembre",619.701
"46","AZUAY","CUENCA",1,101,2024,619701,10,"Octubre",619.701
"47","AZUAY","CUENCA",1,101,2024,619701,11,"Noviembre",619.701
"48","AZUAY","CUENCA",1,101,2024,619701,12,"Diciembre",619.701
"49","AZUAY","CUENCA",1,101,2025,624053,1,"Enero",624.053
